A1CF	rep2_peak_4778 (+2911)
MYC	rep2_peak_39729 (+96)
MYH10	rep2_peak_15653 (-3001)
MYH4	rep2_peak_15669 (+9272)
MYH7	rep2_peak_10917 (-161)
MYH7B	rep2_peak_24715 (+2150)
MYL12A	rep2_peak_17822 (-18302)
MYL6	rep2_peak_8857 (-246)
MYMK	rep2_peak_41635 (+18203)
MYMX	rep2_peak_34560 (-29421)
MYO1B	rep2_peak_23180 (+756), rep2_peak_23181 (+2510)
MYO5C	rep2_peak_12529 (+7184)
MYOM1	rep2_peak_17822 (-13865), rep2_peak_17820 (+1983), rep2_peak_17819 (+8327)
MYOM3	rep2_peak_663 (-8240), rep2_peak_659 (+11035)
MYPOP	rep2_peak_19861 (+6954)
MYRF	rep2_peak_6793 (+4003), rep2_peak_6794 (+17129)
MYT1	rep2_peak_25403 (+24905)
NAA16	rep2_peak_10252 (-21483)
NAA20	rep2_peak_24404 (-14371), rep2_peak_24406 (-6376), rep2_peak_24407 (-1072), rep2_peak_24408 (+189)
NABP1	rep2_peak_23188 (+10990)
NADK	rep2_peak_70 (+11310)
NADK2	rep2_peak_31434 (-207), rep2_peak_31433 (+2269)
NAGLU	rep2_peak_16309 (-5141)
NAGPA	rep2_peak_13631 (-1626)
NANOGP8	rep2_peak_12277 (-5190), rep2_peak_12276 (-363)
NAPA	rep2_peak_19919 (-8416)
NARS2	rep2_peak_7414 (-26391), rep2_peak_7411 (+13596)
NAT8L	rep2_peak_29571 (+12561)
NAT9	rep2_peak_17291 (+25606)
NBEAL2	rep2_peak_27450 (-14867), rep2_peak_27451 (-8884)
NBL1	rep2_peak_520 (-23262)
NBR1	rep2_peak_16371 (+5920)
NCBP2	rep2_peak_29473 (-19675)
NCEH1	rep2_peak_29035 (+14649)
NCMAP	rep2_peak_676 (-14925), rep2_peak_677 (-6721), rep2_peak_678 (-3821), rep2_peak_679 (+3128), rep2_peak_680 (+12089)
NCOA2	rep2_peak_39150 (+1109)
NCOA3	rep2_peak_25007 (-87)
NCOA4	rep2_peak_4699 (-5474), rep2_peak_4697 (-1552), rep2_peak_4694 (+7106), rep2_peak_4693 (+9515)
NCOR2	rep2_peak_9871 (-17951)
NCR2	rep2_peak_34404 (-15114)
NDE1	rep2_peak_13893 (-434), rep2_peak_13895 (+29759)
NDEL1	rep2_peak_15645 (-15324), rep2_peak_15646 (+12655)
NDN	rep2_peak_12196 (-3399)
NDRG4	rep2_peak_14630 (-7617)
NDST1	rep2_peak_32923 (+9355), rep2_peak_32924 (+14571)
NDST2	rep2_peak_5078 (-28950)
NDUFAF6	rep2_peak_39321 (-18360)
NDUFC2	rep2_peak_7393 (-10531), rep2_peak_7392 (-6576)
NDUFS7	rep2_peak_18696 (+110), rep2_peak_18697 (+16911)
NDUFS8	rep2_peak_7111 (-12996)
NDUFV1	rep2_peak_7094 (+10555)
NDUFV2	rep2_peak_17905 (-28822), rep2_peak_17907 (-9772)
NEB	rep2_peak_22610 (-16133)
NECAB2	rep2_peak_15105 (-15464)
NECTIN2	rep2_peak_19789 (+12724), rep2_peak_19791 (+22588)
NEDD1	rep2_peak_9322 (-189)
NEDD4	rep2_peak_12579 (-27672)
NEDD4L	rep2_peak_18440 (-20045)
NEDD9	rep2_peak_33587 (-9200), rep2_peak_33585 (-722), rep2_peak_33583 (+13765), rep2_peak_33580 (+29644)
NEK10	rep2_peak_27102 (+3043), rep2_peak_27101 (+8734)
NEK2	rep2_peak_3407 (-380), rep2_peak_3406 (+8295)
NEK3	rep2_peak_10462 (-28403), rep2_peak_10461 (-3245), rep2_peak_10460 (-1926)
NEK4	rep2_peak_27667 (-4616)
NEK5	rep2_peak_10456 (+11675), rep2_peak_10455 (+24235)
NEK7	rep2_peak_3166 (+5326)
NELFCD	rep2_peak_25291 (-146)
NEMF	rep2_peak_11202 (-9659)
NES	rep2_peak_2650 (+15857)
NEU1	rep2_peak_34173 (-2560), rep2_peak_34170 (+9420)
NEU4	rep2_peak_24006 (+8138)
NEURL1	rep2_peak_5667 (+10577)
NEURL2	rep2_peak_24938 (+44)
NFAT5	rep2_peak_14786 (-472)
NFATC3	rep2_peak_14729 (-5761), rep2_peak_14731 (+27535)
NFE2L2	rep2_peak_23007 (+27), rep2_peak_23006 (+1562), rep2_peak_23004 (+12894)
NFIA	rep2_peak_1504 (-4687), rep2_peak_1508 (+7686)
NFIC	rep2_peak_18797 (-16013)
NFIL3	rep2_peak_40748 (+4450), rep2_peak_40747 (+28630)
NFKBIA	rep2_peak_11093 (+900)
NFKBIZ	rep2_peak_28135 (-152)
NHEJ1	rep2_peak_23588 (+10983)
NHSL1	rep2_peak_35603 (-45), rep2_peak_35599 (+22016), rep2_peak_35596 (+28687)
NID1	rep2_peak_3975 (+905)
NIN	rep2_peak_11235 (-3875)
NINJ1	rep2_peak_40770 (+21694), rep2_peak_40769 (+24910)
NINJ2	rep2_peak_8077 (+17003)
NINL	rep2_peak_24525 (+779)
NIPAL1	rep2_peak_30040 (+26398)
NIPAL2	rep2_peak_39379 (-3675), rep2_peak_39377 (+9816)
NKD1	rep2_peak_14422 (-27653), rep2_peak_14423 (-17524), rep2_peak_14424 (-8925), rep2_peak_14425 (-668)
NKIRAS2	rep2_peak_16279 (-27113)
NKPD1	rep2_peak_19813 (-12788)
NKX1-1	rep2_peak_29545 (-4287)
NKX2-2	rep2_peak_24433 (-16071)
NLRC3	rep2_peak_13577 (-19254)
NLRC5	rep2_peak_14556 (-24452)
NLRP12	rep2_peak_20126 (-18028)
NMRAL1	rep2_peak_13608 (+14545), rep2_peak_13607 (+16699)
NMT2	rep2_peak_4296 (+16490), rep2_peak_4295 (+17896)
NOL3	rep2_peak_14695 (+13358)
NOL7	rep2_peak_33640 (-10158)
NOMO1	rep2_peak_13863 (+19405)
NOMO2	rep2_peak_13930 (-26047), rep2_peak_13929 (-18491), rep2_peak_13927 (+19007)
NOMO3	rep2_peak_13905 (+19091)
NOS1AP	rep2_peak_2749 (+22309)
NOTCH4	rep2_peak_34192 (+27455)
NOTUM	rep2_peak_17675 (-6723)
NOX3	rep2_peak_35901 (+11586)
NOX5	rep2_peak_12854 (-4183)
NPAS2	rep2_peak_21981 (+5745)
NPAS4	rep2_peak_7042 (+779)
NPFFR1	rep2_peak_4971 (+27618)
NPIPB11	rep2_peak_14176 (-15741)
NPIPB13	rep2_peak_14228 (-15783)
NPIPB4	rep2_peak_14039 (-16195)
NPIPB5	rep2_peak_14061 (-15807), rep2_peak_14062 (+29497)
NPIPB7	rep2_peak_14124 (+21673)
NPIPB9	rep2_peak_14146 (+27897)
NPM2	rep2_peak_38586 (+6697)
NPNT	rep2_peak_30537 (+2990)
NPPA	rep2_peak_350 (+4901)
NPVF	rep2_peak_36558 (-21481)
NQO1	rep2_peak_14789 (+3008), rep2_peak_14788 (+20541)
NQO2	rep2_peak_33388 (-6039)
NR0B1	rep2_peak_41980 (-3913)
NR0B2	rep2_peak_760 (-1314), rep2_peak_759 (-273), rep2_peak_758 (+3261)
NR1D1	rep2_peak_16209 (-12596), rep2_peak_16206 (-292), rep2_peak_16205 (+1565)
NR1H4	rep2_peak_9356 (-27999)
NR1I2	rep2_peak_28254 (+12574)
NR2F6	rep2_peak_19272 (-2156), rep2_peak_19270 (+1431)
NR4A1	rep2_peak_8738 (+24213)
NR5A1	rep2_peak_41366 (-4882), rep2_peak_41365 (-3521)
NRARP	rep2_peak_41747 (-81)
NRG2	rep2_peak_32700 (+13209)
NRIP1	rep2_peak_25449 (-125)
NRIP2	rep2_peak_8111 (-15031)
NRM	rep2_peak_34103 (-4125)
NRSN1	rep2_peak_33779 (+19673), rep2_peak_33780 (+22054)
NRSN2	rep2_peak_24022 (-19730), rep2_peak_24025 (+1013), rep2_peak_24028 (+24948)
NSD2	rep2_peak_29567 (+11424)
NSL1	rep2_peak_3453 (-120)
NSMCE1	rep2_peak_14107 (-5264)
NSRP1	rep2_peak_15991 (-11906)
NSUN5	rep2_peak_37102 (-16878), rep2_peak_37100 (+25345)
NSUN6	rep2_peak_4318 (+23740)
NT5E	rep2_peak_34951 (+1952)
NTAN1	rep2_peak_13871 (+3886)
NTMT1	rep2_peak_41547 (-28609)
NTNG1	rep2_peak_1983 (+7191)
NUAK1	rep2_peak_9413 (+19257)
NUCB1	rep2_peak_19983 (+7806)
NUDC	rep2_peak_760 (-6446), rep2_peak_762 (+16640), rep2_peak_763 (+22564), rep2_peak_765 (+25423), rep2_peak_766 (+26647)
NUDT1	rep2_peak_36260 (+27021)
NUDT13	rep2_peak_5061 (+7685), rep2_peak_5063 (+21998)
NUDT14	rep2_peak_12167 (-15381)
NUDT16L1	rep2_peak_13616 (-29473)
NUDT18	rep2_peak_38593 (-3857), rep2_peak_38592 (-2203)
NUDT2	rep2_peak_40273 (+5096)
NUDT3	rep2_peak_34237 (+6658)
NUDT7	rep2_peak_14993 (+14589), rep2_peak_14994 (+27126)
NUDT8	rep2_peak_7094 (+12514)
NUDT9	rep2_peak_30399 (-12942), rep2_peak_30400 (-2805)
NUFIP2	rep2_peak_15971 (+19979)
NUGGC	rep2_peak_38727 (+11366)
NUMB	rep2_peak_11641 (-3837)
NUP153	rep2_peak_33720 (-7522)
NUP155	rep2_peak_31446 (+21808)
NUP210	rep2_peak_26984 (+26347)
NUP50	rep2_peak_26661 (-116)
NUP88	rep2_peak_15526 (+14548)
NUPL2	rep2_peak_36513 (+25411)
NUPR1	rep2_peak_14132 (-2139), rep2_peak_14128 (+12441)
NUTF2	rep2_peak_14718 (-80)
NYX	rep2_peak_42075 (-4955)
OAF	rep2_peak_7880 (-25162)
OARD1	rep2_peak_34398 (+6864), rep2_peak_34397 (+8559)
OAS1	rep2_peak_9577 (+19816)
OAS3	rep2_peak_9577 (-11753)
OASL	rep2_peak_9743 (+13407)
OCLN	rep2_peak_31805 (-19563), rep2_peak_31807 (+22384)
OCM	rep2_peak_36339 (-11707)
OCRL	rep2_peak_42554 (-14969)
ODAM	rep2_peak_30199 (-13581)
OGT	rep2_peak_42283 (-99)
OLA1	rep2_peak_22962 (+14714)
OLFML1	rep2_peak_6184 (+9064)
ONECUT2	rep2_peak_18416 (+2349)
OR1I1	rep2_peak_19213 (+15990)
OR2AE1	rep2_peak_37520 (+16426)
OR2F2	rep2_peak_38151 (-28083)
OR2K2	rep2_peak_41098 (-19807), rep2_peak_41097 (-18730)
OR2T35	rep2_peak_4090 (+8487)
OR4F6	rep2_peak_13407 (-14468)
OR6C68	rep2_peak_8825 (+7646)
OR7G3	rep2_peak_19004 (-9776)
OR9Q2	rep2_peak_6729 (-23405)
ORAOV1	rep2_peak_7175 (-27190), rep2_peak_7172 (-13271), rep2_peak_7169 (+6996), rep2_peak_7168 (+17054), rep2_peak_7167 (+20253)
ORMDL3	rep2_peak_16192 (+2487)
OSBPL10	rep2_peak_27176 (+12182)
OSBPL11	rep2_peak_28374 (-1913)
OSBPL6	rep2_peak_23029 (-818)
OSGIN1	rep2_peak_15101 (-5998), rep2_peak_15104 (+55), rep2_peak_15105 (+4101)
OSMR	rep2_peak_31472 (-15315)
OTUB2	rep2_peak_11919 (+2267)
OTUD3	rep2_peak_526 (-18515)
OTUD7B	rep2_peak_2422 (-87)
P2RY14	rep2_peak_28771 (-5742)
PA2G4	rep2_peak_8847 (-23365), rep2_peak_8848 (-22237)
PACSIN2	rep2_peak_26628 (+19894), rep2_peak_26627 (+21090)
PACSIN3	rep2_peak_6648 (-3618)
PAFAH1B1	rep2_peak_15443 (-28664)
PAFAH2	rep2_peak_723 (+945)
PAGE2	rep2_peak_42222 (+22737)
PAGE4	rep2_peak_42172 (-16877)
PAH	rep2_peak_9392 (-2879), rep2_peak_9390 (+18483)
PAIP2	rep2_peak_32670 (-91)
PALM	rep2_peak_18648 (+29579)
PANK1	rep2_peak_5321 (-416)
PANK3	rep2_peak_33062 (-16695), rep2_peak_33061 (-12574)
PANX1	rep2_peak_7531 (+24473)
PAPD5	rep2_peak_14407 (+2301)
PAPSS1	rep2_peak_30559 (-16837), rep2_peak_30557 (+6663)
PAQR7	rep2_peak_715 (+9782)
PAQR8	rep2_peak_34641 (+7262), rep2_peak_34642 (+9631)
PAQR9	rep2_peak_28650 (+21803), rep2_peak_28649 (+23466)
PARD6B	rep2_peak_25150 (+13034), rep2_peak_25151 (+15033)
PARL	rep2_peak_29134 (-28487), rep2_peak_29133 (-27359)
PARP12	rep2_peak_38096 (+14301)
PARP14	rep2_peak_28297 (-28814)
PATJ	rep2_peak_1532 (+10586)
PATZ1	rep2_peak_26273 (-224)
PAX7	rep2_peak_490 (+12765)
PAX8	rep2_peak_22265 (-9965)
PBOV1	rep2_peak_35574 (-4556)
PBX3	rep2_peak_41417 (+11784)
PC	rep2_peak_7064 (-12676)
PCBP1	rep2_peak_21555 (-676), rep2_peak_21557 (+21515)
PCGF2	rep2_peak_16145 (+3302)
PCGF5	rep2_peak_5332 (-5)
PCID2	rep2_peak_10808 (+24813)
PCIF1	rep2_peak_24942 (-7136), rep2_peak_24943 (-2313)
PCK1	rep2_peak_25278 (-239), rep2_peak_25282 (+26386)
PCM1	rep2_peak_38558 (-6776), rep2_peak_38559 (-199)
PCMTD2	rep2_peak_25408 (-12772)
PCNX1	rep2_peak_11618 (-12342)
PCSK9	rep2_peak_1370 (-37)
PCTP	rep2_peak_16746 (+11158)
PCYOX1	rep2_peak_21568 (+11617)
PCYT2	rep2_peak_17667 (+770)
PDCD4	rep2_peak_5728 (-14096)
PDCL3	rep2_peak_21973 (-2077)
PDE5A	rep2_peak_30644 (-19634)
PDE8A	rep2_peak_13150 (+940)
PDE8B	rep2_peak_31968 (-23649)
PDGFB	rep2_peak_26514 (+3694), rep2_peak_26513 (+14313)
PDGFC	rep2_peak_30924 (+29223)
PDGFRB	rep2_peak_32910 (+12751), rep2_peak_32906 (+18360)
PDHB	rep2_peak_27798 (-18550)
PDHX	rep2_peak_6559 (+13481)
PDK4	rep2_peak_37427 (-12406), rep2_peak_37426 (+5885)
PDLIM1	rep2_peak_5413 (+12694), rep2_peak_5412 (+17382)
PDLIM2	rep2_peak_38613 (-22151), rep2_peak_38614 (-20073)
PDLIM3	rep2_peak_31133 (+21494)
PDLIM5	rep2_peak_30445 (-26162), rep2_peak_30450 (+21248)
PDP2	rep2_peak_14677 (+25018)
PDPK1	rep2_peak_13525 (+12545)
PDX1	rep2_peak_10083 (-1806)
PDZD7	rep2_peak_5581 (+22155)
PDZD8	rep2_peak_5854 (-29542)
PDZK1	rep2_peak_2308 (+15524)
PDZK1IP1	rep2_peak_1226 (-26463)
PEBP1	rep2_peak_9676 (-14670)
PEBP4	rep2_peak_38624 (-25968)
PECAM1	rep2_peak_17014 (+4032), rep2_peak_17013 (+5563)
PELO	rep2_peak_31577 (+6791)
PER1	rep2_peak_15618 (-1328), rep2_peak_15617 (-17), rep2_peak_15616 (+13459)
PER2	rep2_peak_23923 (-1778)
PERP	rep2_peak_35566 (+20782), rep2_peak_35565 (+22477)
PEX11A	rep2_peak_13203 (+10219)
PEX13	rep2_peak_21334 (+573)
PEX3	rep2_peak_35692 (-216)
PFAS	rep2_peak_15638 (+24811)
PFDN1	rep2_peak_32710 (+9832)
PFDN4	rep2_peak_25259 (-12873)
PGAP3	rep2_peak_16178 (-7633)
PGC	rep2_peak_34431 (-314), rep2_peak_34429 (+5552)
PGK2	rep2_peak_34625 (+20364), rep2_peak_34624 (+22530)
PGPEP1	rep2_peak_19319 (+22539), rep2_peak_19320 (+24549)
PGRMC2	rep2_peak_30718 (+524)
PGS1	rep2_peak_17518 (-12868), rep2_peak_17519 (-3148)
PHACTR2	rep2_peak_35698 (+14899)
PHB	rep2_peak_16606 (-4098)
PHC2	rep2_peak_946 (+28271)
PHF10	rep2_peak_36156 (-1848)
PHF12	rep2_peak_15956 (+14247)
PHF7	rep2_peak_27651 (+19256)
PHF8	rep2_peak_42210 (-527)
PHLDA1	rep2_peak_9114 (+2242)
PHOSPHO2	rep2_peak_22859 (-10651), rep2_peak_22861 (+21284), rep2_peak_22862 (+22989)
PHYH	rep2_peak_4265 (+16687)
PIEZO2	rep2_peak_17953 (+28448)
PIGC	rep2_peak_2893 (-6647)
PIGM	rep2_peak_2672 (-21814), rep2_peak_2670 (-13874)
PIGV	rep2_peak_750 (-3922)
PIGY	rep2_peak_30415 (+6694)
PIGZ	rep2_peak_29473 (+6561)
PIK3C2B	rep2_peak_3278 (-4192)
PIK3R1	rep2_peak_31780 (+23923)
PIKFYVE	rep2_peak_23426 (-10925), rep2_peak_23428 (-135)
PIM1	rep2_peak_34350 (-498), rep2_peak_34351 (+2057)
PIM3	rep2_peak_26763 (-24256), rep2_peak_26764 (-22414), rep2_peak_26765 (-13277), rep2_peak_26766 (-10978)
PIP5K1B	rep2_peak_40475 (+26927)
PIPOX	rep2_peak_15960 (+71)
PITPNM2	rep2_peak_9833 (+18003)
PKD1L3	rep2_peak_14873 (+17770)
PKD2L1	rep2_peak_5553 (-10584), rep2_peak_5551 (+29199)
PKD2L2	rep2_peak_32630 (+10249), rep2_peak_32631 (+12131)
PKDCC	rep2_peak_20973 (+8127)
PKN2	rep2_peak_1734 (+17774)
PKP1	rep2_peak_3198 (+26199)
PKP2	rep2_peak_8520 (+3053)
PKP4	rep2_peak_22690 (+1107)
PLA2G15	rep2_peak_14735 (-7648)
PLA2G16	rep2_peak_6892 (+11044)
PLA2G2A	rep2_peak_533 (-8167), rep2_peak_532 (-2067), rep2_peak_531 (+4571)
PLA2G2E	rep2_peak_528 (-1901)
PLA2G4D	rep2_peak_12389 (+28422)
PLA2G4E	rep2_peak_12389 (-14942)
PLA2G4F	rep2_peak_12392 (+17491)
PLA2G6	rep2_peak_26480 (-11983), rep2_peak_26479 (-5748), rep2_peak_26476 (+1349), rep2_peak_26475 (+3577), rep2_peak_26474 (+8789)
PLAT	rep2_peak_38940 (+11118)
PLCB1	rep2_peak_24220 (+12576), rep2_peak_24222 (+24558)
PLCB4	rep2_peak_24238 (-21978), rep2_peak_24239 (-5876)
PLCG2	rep2_peak_15079 (-10871)
PLCXD1	rep2_peak_41783 (-2088)
PLD1	rep2_peak_28984 (-29021), rep2_peak_28983 (-27823), rep2_peak_28975 (-74), rep2_peak_28972 (+3761)
PLEKHB1	rep2_peak_7267 (+2704)
PLEKHF2	rep2_peak_39326 (-20930)
PLEKHG6	rep2_peak_8153 (-14593)
PLEKHH2	rep2_peak_21080 (-24175), rep2_peak_21081 (-2447)
PLEKHH3	rep2_peak_16323 (-1585)
PLEKHJ1	rep2_peak_18737 (+694)
PLEKHM3	rep2_peak_23418 (-6324), rep2_peak_23417 (+4), rep2_peak_23416 (+9901), rep2_peak_23415 (+11475)
PLG	rep2_peak_36026 (-4207), rep2_peak_36027 (+2597)
PLIN1	rep2_peak_13203 (-1161)
PLIN2	rep2_peak_40169 (-26687), rep2_peak_40168 (-24498), rep2_peak_40166 (-28)
PLIN3	rep2_peak_18864 (-2503)
PLLP	rep2_peak_14577 (-19670), rep2_peak_14575 (-15331), rep2_peak_14572 (+4543)
PLOD1	rep2_peak_353 (-6596)
PLP1	rep2_peak_42356 (+29525)
PLPP2	rep2_peak_18625 (+621)
PLPP3	rep2_peak_1413 (+9734)
PLPPR4	rep2_peak_1930 (+13303)
PLRG1	rep2_peak_30905 (-9836)
PLSCR4	rep2_peak_28671 (+28688)
PLSCR5	rep2_peak_28675 (-20633), rep2_peak_28674 (+24870)
PLTP	rep2_peak_24943 (-20268), rep2_peak_24942 (-15445)
PLXNB1	rep2_peak_27497 (-2027), rep2_peak_27496 (-697)
PLXNC1	rep2_peak_9266 (+24487)
PLXND1	rep2_peak_28488 (-20093), rep2_peak_28483 (+12868)
PMF1-BGLAP	rep2_peak_2629 (+12534)
PMM1	rep2_peak_26584 (+2072)
PNCK	rep2_peak_42684 (-10229)
PNLDC1	rep2_peak_35999 (-4775)
PNMA3	rep2_peak_42667 (+13260)
PNMA6A	rep2_peak_42667 (-2186), rep2_peak_42668 (+7229)
PNPLA3	rep2_peak_26653 (+1982)
PNRC1	rep2_peak_35006 (+1015)
POLB	rep2_peak_38942 (+28506)
POLDIP3	rep2_peak_26603 (-437), rep2_peak_26602 (+12635)
POLE4	rep2_peak_21702 (-18371)
POLR2E	rep2_peak_18670 (-6597), rep2_peak_18667 (+19749)
POLR2I	rep2_peak_19552 (-4889)
POLR2J2	rep2_peak_37657 (-3151)
POLR2J3	rep2_peak_37654 (-3165)
POLR3E	rep2_peak_14055 (-128)
POLR3H	rep2_peak_26583 (-5231), rep2_peak_26581 (+15429)
POLR3K	rep2_peak_13412 (+7992)
PON2	rep2_peak_37419 (-5372)
POR	rep2_peak_37200 (-8832), rep2_peak_37201 (-7498), rep2_peak_37203 (+5636)
POTEF	rep2_peak_22467 (+26402)
POU2AF1	rep2_peak_7685 (-15647), rep2_peak_7684 (+13631), rep2_peak_7683 (+19308)
POU5F1B	rep2_peak_39722 (-13367)
PPA1	rep2_peak_4971 (-22631), rep2_peak_4970 (-4851)
PPA2	rep2_peak_30533 (+2)
PPARGC1A	rep2_peak_29846 (+8782), rep2_peak_29845 (+12188), rep2_peak_29844 (+25381)
PPCDC	rep2_peak_12973 (+23802)
PPFIBP1	rep2_peak_8439 (+25698)
PPFIBP2	rep2_peak_6184 (-19224), rep2_peak_6187 (+11876)
PPHLN1	rep2_peak_8546 (+23401)
PPIAL4A	rep2_peak_2244 (-1372)
PPIAL4C	rep2_peak_2401 (-1485)
PPIAL4D	rep2_peak_2299 (-1410)
PPIAL4E	rep2_peak_2276 (-1335)
PPIAL4F	rep2_peak_2286 (-1348)
PPIAL4G	rep2_peak_2385 (-1003)
PPIF	rep2_peak_5203 (-11699), rep2_peak_5206 (+11562)
PPIL4	rep2_peak_35785 (-73)
PPL	rep2_peak_13627 (-7726)
PPM1D	rep2_peak_16924 (+151)
PPM1F	rep2_peak_26004 (+14512)
PPM1H	rep2_peak_8959 (-22336), rep2_peak_8958 (-230)
PPP1R13B	rep2_peak_12142 (-8066)
PPP1R14A	rep2_peak_19592 (+5672), rep2_peak_19590 (+8717)
PPP1R18	rep2_peak_34101 (+586)
PPP1R2	rep2_peak_29438 (-5280)
PPP1R21	rep2_peak_21238 (-24545)
PPP1R35	rep2_peak_37557 (-8022)
PPP1R3B	rep2_peak_38413 (-10143)
PPP1R8	rep2_peak_801 (-13349), rep2_peak_802 (-1183), rep2_peak_804 (+23839)
PPP2CB	rep2_peak_38797 (+8444)
PPP2R1B	rep2_peak_7703 (-23933), rep2_peak_7702 (-19796), rep2_peak_7700 (-11616), rep2_peak_7698 (+27898)
PPP2R5A	rep2_peak_3436 (+24617)
PPP4R1	rep2_peak_17919 (+5641)
PPP4R2	rep2_peak_27987 (-29028)
PPP4R3A	rep2_peak_11869 (-437)
PPP6C	rep2_peak_41394 (+13)
PPP6R3	rep2_peak_7137 (-4563), rep2_peak_7138 (-666), rep2_peak_7139 (+7638), rep2_peak_7140 (+8580)
PPTC7	rep2_peak_9537 (-8415), rep2_peak_9535 (+16643)
PQLC1	rep2_peak_18612 (+16848)
PRCC	rep2_peak_2659 (+28476)
PRCD	rep2_peak_17428 (+11079)
PRDM10	rep2_peak_8011 (-26511)
PRDX1	rep2_peak_1195 (-22)
PREP	rep2_peak_35062 (+4867)
PRIMA1	rep2_peak_11908 (+9866)
PRKAB2	rep2_peak_2347 (+3696)
PRKAG3	rep2_peak_23567 (+25267)
PRKAR1A	rep2_peak_17135 (-29666), rep2_peak_17136 (-27001)
PRKCA	rep2_peak_17073 (-18575)
PRKCZ	rep2_peak_84 (-2997)
PRKRA	rep2_peak_23036 (+22638)
PRLH	rep2_peak_23890 (-16734), rep2_peak_23893 (+19218)
PRLR	rep2_peak_31420 (-7393)
PRM1	rep2_peak_13756 (-28781), rep2_peak_13751 (+1616)
PRM2	rep2_peak_13751 (-3254)
PRMT2	rep2_peak_25861 (-13199)
PRND	rep2_peak_24153 (-1659)
PRNT	rep2_peak_24156 (-21093)
PROC	rep2_peak_22427 (+20045)
PROCA1	rep2_peak_15938 (+13269)
PROCR	rep2_peak_24720 (-17196)
PROSER2	rep2_peak_4234 (+8233)
PROZ	rep2_peak_10802 (-19421), rep2_peak_10804 (-8210), rep2_peak_10807 (+11523), rep2_peak_10808 (+25248)
PRPF19	rep2_peak_6766 (+25413)
PRPF39	rep2_peak_11174 (-26064)
PRPS1L1	rep2_peak_36476 (+17146)
PRPSAP1	rep2_peak_17409 (-28299), rep2_peak_17408 (-22339), rep2_peak_17406 (-7643)
PRR27	rep2_peak_30199 (+28728)
PRR3	rep2_peak_34085 (-28740), rep2_peak_34086 (-26671), rep2_peak_34087 (-22689)
PRR7	rep2_peak_33237 (+1139)
PRRC2B	rep2_peak_41595 (-27030)
PRRG4	rep2_peak_6481 (+621)
PRSS3	rep2_peak_40258 (+1883)
PRSS48	rep2_peak_30867 (-25055), rep2_peak_30868 (-9875)
PRUNE1	rep2_peak_2469 (+4717)
PSAT1	rep2_peak_40612 (-9979)
PSD4	rep2_peak_22253 (-17364), rep2_peak_22257 (-6379)
PSMA1	rep2_peak_6308 (+23337)
PSMA5	rep2_peak_2031 (+26882)
PSMA7	rep2_peak_25309 (+8394)
PSMB7	rep2_peak_41363 (-16262), rep2_peak_41360 (+29078)
PSMC4	rep2_peak_19652 (-26781)
PSMD1	rep2_peak_23750 (-6364), rep2_peak_23751 (-4598)
PSMD8	rep2_peak_19595 (-11019)
PSMD9	rep2_peak_9780 (-12189)
PSME4	rep2_peak_21252 (-392)
PSMF1	rep2_peak_24052 (-89)
PSPH	rep2_peak_36966 (+22393)
PSRC1	rep2_peak_2024 (-16321), rep2_peak_2021 (+5530)
PSTPIP2	rep2_peak_18279 (+19966)
PTAFR	rep2_peak_810 (-28246)
PTAR1	rep2_peak_40505 (+4579)
PTBP1	rep2_peak_18653 (-14394)
PTCH1	rep2_peak_40833 (+2368)
PTF1A	rep2_peak_4360 (-5497), rep2_peak_4361 (+9118)
PTGDR2	rep2_peak_6764 (+10948)
PTGES2	rep2_peak_41482 (+13080), rep2_peak_41481 (+23963), rep2_peak_41480 (+25209)
PTGES3L-AARSD1	rep2_peak_16353 (+6704)
PTGFRN	rep2_peak_2187 (+6781)
PTGIS	rep2_peak_25051 (-29728), rep2_peak_25050 (-16073)
PTK2	rep2_peak_39881 (+27877)
PTK2B	rep2_peak_38690 (+4040), rep2_peak_38692 (+23722)
PTK7	rep2_peak_34476 (+13474)
PTMA	rep2_peak_23773 (-104)
PTP4A1	rep2_peak_34811 (+18132)
PTP4A2	rep2_peak_896 (+8289)
PTP4A3	rep2_peak_39894 (-22076)
PTPN12	rep2_peak_37263 (-20939), rep2_peak_37265 (+1237)
PTPN14	rep2_peak_3524 (+27575)
PTPN2	rep2_peak_17999 (+9055)
PTPN23	rep2_peak_27466 (-1282), rep2_peak_27470 (+13276)
PTPN3	rep2_peak_41066 (-9309)
PTPRF	rep2_peak_1131 (+15029), rep2_peak_1132 (+17655)
PTPRG	rep2_peak_27832 (-1018)
PTPRH	rep2_peak_20147 (-841), rep2_peak_20146 (+2663)
PTPRK	rep2_peak_35407 (+11391), rep2_peak_35406 (+12651)
PTPRN2	rep2_peak_38320 (-3193), rep2_peak_38319 (+5821)
PTRH2	rep2_peak_16882 (-18274)
PTTG1IP	rep2_peak_25811 (-6986), rep2_peak_25809 (-4467), rep2_peak_25807 (+3705)
PTTG2	rep2_peak_29913 (-1287)
PUM1	rep2_peak_856 (+1376)
PUS10	rep2_peak_21334 (-41)
PVR	rep2_peak_19767 (-28070)
PXMP4	rep2_peak_24659 (-4279), rep2_peak_24656 (+18053)
PXN	rep2_peak_9710 (-11769), rep2_peak_9709 (-233)
PYCARD	rep2_peak_14308 (-4015)
