A1BG	rep2_peak_20236 (-82)
AHSG	rep2_peak_29209 (-22790), rep2_peak_29210 (-18838), rep2_peak_29211 (-18178), rep2_peak_29212 (-13623), rep2_peak_29213 (-6570), rep2_peak_29214 (+13), rep2_peak_29215 (+2121), rep2_peak_29216 (+4298), rep2_peak_29217 (+7863), rep2_peak_29218 (+9449), rep2_peak_29219 (+18432), rep2_peak_29220 (+21529)
AICDA	rep2_peak_8220 (+21468)
AIDA	rep2_peak_3613 (-809), rep2_peak_3612 (-162)
AIF1L	rep2_peak_41584 (-17167), rep2_peak_41585 (+13704), rep2_peak_41586 (+25924), rep2_peak_41587 (+26898)
AIFM1	rep2_peak_42563 (-321), rep2_peak_42562 (-21)
AIFM2	rep2_peak_4963 (+13), rep2_peak_4962 (+791), rep2_peak_4961 (+1729), rep2_peak_4960 (+23379)
AIFM3	rep2_peak_25962 (-15227), rep2_peak_25963 (-13610), rep2_peak_25964 (-12144), rep2_peak_25965 (-11049), rep2_peak_25966 (-7598), rep2_peak_25967 (-1395), rep2_peak_25968 (+1570), rep2_peak_25969 (+15007)
AIG1	rep2_peak_35682 (-1073), rep2_peak_35683 (-293), rep2_peak_35684 (+140), rep2_peak_35685 (+4212), rep2_peak_35686 (+18571)
AIMP1	rep2_peak_30545 (-28958), rep2_peak_30546 (-344)
AIMP2	rep2_peak_36342 (+93), rep2_peak_36343 (+6838)
AIP	rep2_peak_7083 (-5451), rep2_peak_7084 (+259)
AJUBA	rep2_peak_10908 (-24445), rep2_peak_10907 (-99)
AK1	rep2_peak_41463 (-23789), rep2_peak_41462 (-4250)
AK2	rep2_peak_936 (-18356), rep2_peak_935 (-16297), rep2_peak_934 (-13365)
AK3	rep2_peak_40056 (+673), rep2_peak_40055 (+2304)
AK4	rep2_peak_1585 (-20134), rep2_peak_1586 (+195), rep2_peak_1587 (+1444), rep2_peak_1588 (+11034), rep2_peak_1589 (+12190)
AK6	rep2_peak_31798 (-218)
AK7	rep2_peak_12004 (+17840)
AK9	rep2_peak_35172 (+11937)
AKAP1	rep2_peak_16757 (-16368), rep2_peak_16758 (-724), rep2_peak_16759 (+167)
AKAP10	rep2_peak_15875 (-15190), rep2_peak_15874 (-126)
AKAP11	rep2_peak_10267 (-246), rep2_peak_10268 (+373)
AKAP12	rep2_peak_35830 (+29854)
AKAP13	rep2_peak_13161 (-395), rep2_peak_13162 (-5), rep2_peak_13163 (+14008)
AKAP3	rep2_peak_8133 (-94)
AKAP4	rep2_peak_42182 (+20694)
AKAP7	rep2_peak_35449 (-322), rep2_peak_35450 (+259)
AKAP8L	rep2_peak_19225 (-231), rep2_peak_19224 (+7495)
AKAP9	rep2_peak_37356 (-1)
AKIP1	rep2_peak_6211 (+92)
AKIRIN1	rep2_peak_1016 (-29608), rep2_peak_1017 (-28543), rep2_peak_1018 (-21974), rep2_peak_1019 (-5258), rep2_peak_1020 (+10)
AKIRIN2	rep2_peak_34980 (-29811), rep2_peak_34979 (-21218), rep2_peak_34978 (+52), rep2_peak_34977 (+1100), rep2_peak_34976 (+29442)
AKNA	rep2_peak_41196 (-7130), rep2_peak_41195 (-3987), rep2_peak_41194 (-2708)
AKR1A1	rep2_peak_1196 (-16385), rep2_peak_1197 (-7723), rep2_peak_1198 (-4782), rep2_peak_1199 (+224)
AKR1B1	rep2_peak_37968 (-21828), rep2_peak_37967 (-33)
AKR1B10	rep2_peak_37969 (-90)
AKR1C1	rep2_peak_4145 (-23320), rep2_peak_4146 (-16039), rep2_peak_4147 (-15292), rep2_peak_4148 (-6156), rep2_peak_4149 (+136), rep2_peak_4150 (+18956)
AKR1C2	rep2_peak_4152 (-7594), rep2_peak_4151 (-5321), rep2_peak_4150 (+21814)
AKR1C3	rep2_peak_4153 (-21856), rep2_peak_4154 (-13775), rep2_peak_4155 (+627)
AKR1C4	rep2_peak_4158 (+24032), rep2_peak_4159 (+29580)
AKR1D1	rep2_peak_38011 (-26531), rep2_peak_38012 (-11511), rep2_peak_38013 (-10524), rep2_peak_38014 (-9302), rep2_peak_38015 (-26), rep2_peak_38016 (+1540), rep2_peak_38017 (+10276), rep2_peak_38018 (+13305), rep2_peak_38019 (+19965), rep2_peak_38020 (+21058)
AKR1E2	rep2_peak_4141 (-10860), rep2_peak_4142 (+23595), rep2_peak_4143 (+29275)
AKT1	rep2_peak_12160 (+27045)
AKT1S1	rep2_peak_20020 (+293)
AKTIP	rep2_peak_14486 (-17529), rep2_peak_14485 (-8299), rep2_peak_14484 (-6859), rep2_peak_14483 (-255)
ALAD	rep2_peak_41161 (-5724), rep2_peak_41160 (-138), rep2_peak_41159 (+5842), rep2_peak_41158 (+13508), rep2_peak_41157 (+19122), rep2_peak_41156 (+20473), rep2_peak_41155 (+21473), rep2_peak_41154 (+22020), rep2_peak_41153 (+24081)
ALAS1	rep2_peak_27633 (-20490), rep2_peak_27634 (-9412), rep2_peak_27635 (-107), rep2_peak_27636 (+12768)
ALAS2	rep2_peak_42221 (+23298)
ALB	rep2_peak_30221 (-28793), rep2_peak_30222 (-25143), rep2_peak_30223 (-15158), rep2_peak_30224 (-6500), rep2_peak_30225 (-3004), rep2_peak_30226 (+79), rep2_peak_30227 (+1490), rep2_peak_30228 (+1882), rep2_peak_30229 (+11833), rep2_peak_30230 (+17835), rep2_peak_30231 (+26144), rep2_peak_30232 (+28082)
ALCAM	rep2_peak_28146 (-126), rep2_peak_28147 (+1112), rep2_peak_28148 (+1958), rep2_peak_28149 (+2985), rep2_peak_28150 (+20425)
ALDH16A1	rep2_peak_19999 (+475)
ALDH18A1	rep2_peak_5439 (-5326), rep2_peak_5438 (-54), rep2_peak_5437 (+10304), rep2_peak_5436 (+15581), rep2_peak_5435 (+21104)
ALDH1A1	rep2_peak_40564 (-27694), rep2_peak_40563 (-26493), rep2_peak_40562 (+18618), rep2_peak_40561 (+27405)
ALDH1B1	rep2_peak_40382 (-17237), rep2_peak_40383 (-16226), rep2_peak_40384 (-11429), rep2_peak_40385 (-6148), rep2_peak_40386 (-3674), rep2_peak_40387 (-5), rep2_peak_40388 (+8097)
ALDH1L1	rep2_peak_28392 (-3579), rep2_peak_28391 (+270), rep2_peak_28390 (+2069), rep2_peak_28389 (+10038)
ALDH2	rep2_peak_9551 (-143), rep2_peak_9552 (+7175), rep2_peak_9553 (+10872), rep2_peak_9554 (+20590), rep2_peak_9555 (+21477)
ALDH3A1	rep2_peak_15871 (-3035), rep2_peak_15870 (+11287), rep2_peak_15869 (+24490)
ALDH3A2	rep2_peak_15861 (-21465), rep2_peak_15862 (-1496), rep2_peak_15863 (+234), rep2_peak_15864 (+7761), rep2_peak_15865 (+10685), rep2_peak_15866 (+11847), rep2_peak_15867 (+23498)
ALDH3B1	rep2_peak_7108 (+13), rep2_peak_7109 (+3079), rep2_peak_7110 (+6672), rep2_peak_7111 (+7279)
ALDH4A1	rep2_peak_495 (-10496), rep2_peak_494 (+138), rep2_peak_493 (+1411), rep2_peak_492 (+2328)
ALDH5A1	rep2_peak_33794 (-87), rep2_peak_33795 (+422), rep2_peak_33796 (+9956)
ALDH7A1	rep2_peak_32450 (+29)
ALDH8A1	rep2_peak_35512 (-1934)
ALDH9A1	rep2_peak_2790 (-929), rep2_peak_2789 (+413), rep2_peak_2788 (+880)
ALDOA	rep2_peak_14213 (-26), rep2_peak_14214 (+10934), rep2_peak_14215 (+12343)
ALDOB	rep2_peak_40957 (-21390), rep2_peak_40956 (-10069), rep2_peak_40955 (-4973), rep2_peak_40954 (+2387), rep2_peak_40953 (+13932)
ALDOC	rep2_peak_15932 (+149)
ALG1	rep2_peak_13632 (+70)
ALG10	rep2_peak_8524 (+178)
ALG10B	rep2_peak_8529 (+130)
ALG11	rep2_peak_10449 (-384)
ALG13	rep2_peak_42417 (+464)
ALG14	rep2_peak_1909 (-14325), rep2_peak_1908 (-11698), rep2_peak_1907 (+24), rep2_peak_1906 (+3447), rep2_peak_1905 (+5639)
ALG1L	rep2_peak_28385 (-1868), rep2_peak_28384 (-976), rep2_peak_28383 (+17764), rep2_peak_28382 (+18668)
ALG1L2	rep2_peak_28498 (+29632)
ALG2	rep2_peak_40920 (-423), rep2_peak_40919 (+83)
ALG3	rep2_peak_29146 (-703), rep2_peak_29145 (+62), rep2_peak_29144 (+7012), rep2_peak_29143 (+18650)
ALG5	rep2_peak_10197 (-714), rep2_peak_10196 (+104)
ALG6	rep2_peak_1563 (+231)
ALG8	rep2_peak_7397 (-17801), rep2_peak_7396 (-16981), rep2_peak_7395 (-11339), rep2_peak_7394 (+29)
ALG9	rep2_peak_7707 (+70), rep2_peak_7706 (+29970)
ALKAL1	rep2_peak_39019 (-6883)
ALKAL2	rep2_peak_20268 (+17226)
ALKBH1	rep2_peak_11773 (-37), rep2_peak_11772 (+26139)
ALKBH2	rep2_peak_9476 (-42), rep2_peak_9475 (+5909)
ALKBH5	rep2_peak_15816 (-622), rep2_peak_15817 (+3190), rep2_peak_15818 (+7101)
ALKBH7	rep2_peak_18921 (0)
ALLC	rep2_peak_20297 (-12264), rep2_peak_20298 (-7060), rep2_peak_20299 (-6001), rep2_peak_20300 (-1025), rep2_peak_20301 (+1537), rep2_peak_20302 (+7912)
ALMS1	rep2_peak_21640 (+361)
ALOX12B	rep2_peak_15610 (+27342)
ALOX15	rep2_peak_15493 (-6680), rep2_peak_15492 (-5815)
ALOX15B	rep2_peak_15609 (+17668), rep2_peak_15610 (+21344)
ALOXE3	rep2_peak_15614 (-2746), rep2_peak_15613 (-1351), rep2_peak_15612 (-668), rep2_peak_15611 (+112)
ALPI	rep2_peak_23785 (-12257)
ALPK2	rep2_peak_18473 (+19106), rep2_peak_18472 (+22514), rep2_peak_18471 (+23441), rep2_peak_18470 (+26932)
ALPL	rep2_peak_574 (+28951)
ALPP	rep2_peak_23784 (-11615)
ALS2	rep2_peak_23301 (+109)
ALYREF	rep2_peak_17666 (-225)
AMACR	rep2_peak_31386 (-27922), rep2_peak_31385 (-26616), rep2_peak_31384 (-2365), rep2_peak_31383 (-254)
AMBN	rep2_peak_30204 (-28100)
AMBP	rep2_peak_41181 (-3776), rep2_peak_41180 (-2544), rep2_peak_41179 (+35), rep2_peak_41178 (+16190), rep2_peak_41177 (+19618)
AMBRA1	rep2_peak_6627 (-17615), rep2_peak_6626 (-3317), rep2_peak_6625 (-84), rep2_peak_6624 (+8800), rep2_peak_6623 (+19354)
AMD1	rep2_peak_35198 (-17567), rep2_peak_35199 (-7904), rep2_peak_35200 (-590), rep2_peak_35201 (-50), rep2_peak_35202 (+1487), rep2_peak_35203 (+2628)
AMDHD1	rep2_peak_9301 (-217), rep2_peak_9302 (+5362), rep2_peak_9303 (+6648), rep2_peak_9304 (+12667), rep2_peak_9305 (+23480)
AMDHD2	rep2_peak_13521 (+4125)
AMER1	rep2_peak_42248 (-307), rep2_peak_42247 (+1315), rep2_peak_42246 (+16663)
AMER3	rep2_peak_22473 (-11589)
AMH	rep2_peak_18739 (-7059)
AMHR2	rep2_peak_8787 (+14307)
AMIGO2	rep2_peak_8610 (-8408), rep2_peak_8609 (-6092)
AMN	rep2_peak_12118 (+200)
AMOTL2	rep2_peak_28547 (+947), rep2_peak_28546 (+1722)
AMPD2	rep2_peak_2041 (-3127), rep2_peak_2042 (-1825), rep2_peak_2043 (-944), rep2_peak_2044 (+22848), rep2_peak_2045 (+24220)
AMT	rep2_peak_27542 (-16)
AMZ1	rep2_peak_36277 (-16296), rep2_peak_36278 (+14586)
AMZ2	rep2_peak_17116 (+237)
ANAPC1	rep2_peak_22202 (+562)
ANAPC10	rep2_peak_30829 (+316)
ANAPC11	rep2_peak_17666 (+72)
ANAPC13	rep2_peak_28549 (-62)
ANAPC15	rep2_peak_7218 (-1329)
ANAPC16	rep2_peak_5026 (+55)
ANAPC2	rep2_peak_41733 (-106)
ANAPC4	rep2_peak_29861 (-8852), rep2_peak_29862 (-4557), rep2_peak_29863 (+77), rep2_peak_29864 (+28901)
ANAPC5	rep2_peak_9754 (-24628), rep2_peak_9753 (-37)
ANG	rep2_peak_10849 (-798), rep2_peak_10850 (+332), rep2_peak_10851 (+1012), rep2_peak_10852 (+2457), rep2_peak_10853 (+3426), rep2_peak_10854 (+4498), rep2_peak_10855 (+7037)
ANGEL1	rep2_peak_11745 (-21567), rep2_peak_11744 (-19898), rep2_peak_11743 (-17291), rep2_peak_11742 (-6), rep2_peak_11741 (+1743)
ANGEL2	rep2_peak_3462 (+120), rep2_peak_3461 (+437)
ANGPT2	rep2_peak_38368 (+2779), rep2_peak_38367 (+3477), rep2_peak_38366 (+15670)
ANGPTL1	rep2_peak_2972 (-102)
ANGPTL2	rep2_peak_41442 (+13461)
ANGPTL3	rep2_peak_1550 (+11600), rep2_peak_1551 (+24612)
ANGPTL4	rep2_peak_18988 (-10070), rep2_peak_18989 (-8357), rep2_peak_18990 (-6777), rep2_peak_18991 (+355), rep2_peak_18992 (+10311), rep2_peak_18993 (+12441), rep2_peak_18994 (+24213)
ANGPTL5	rep2_peak_7581 (-13193)
ANGPTL6	rep2_peak_19024 (+11688)
ANGPTL8	rep2_peak_19069 (-631), rep2_peak_19070 (+2075), rep2_peak_19071 (+5961)
ANK1	rep2_peak_38930 (+695)
ANKAR	rep2_peak_23146 (-1334)
ANKDD1A	rep2_peak_12757 (+4178), rep2_peak_12758 (+26485)
ANKDD1B	rep2_peak_31939 (-467), rep2_peak_31940 (-49)
ANKEF1	rep2_peak_24240 (+51)
ANKFY1	rep2_peak_15481 (-94)
ANKH	rep2_peak_31293 (-8501)
ANKHD1	rep2_peak_32715 (-923), rep2_peak_32716 (+787)
ANKHD1-EIF4EBP3	rep2_peak_32716 (+693)
ANKIB1	rep2_peak_37361 (-285)
ANKLE1	rep2_peak_19276 (+1150)
ANKLE2	rep2_peak_9953 (-419)
ANKMY2	rep2_peak_36435 (-407)
ANKRA2	rep2_peak_31868 (-41), rep2_peak_31867 (+20951), rep2_peak_31866 (+24028), rep2_peak_31865 (+28749)
ANKRD1	rep2_peak_5329 (-10340), rep2_peak_5328 (-58)
ANKRD10	rep2_peak_10771 (-287), rep2_peak_10770 (+144), rep2_peak_10769 (+738), rep2_peak_10768 (+6357)
ANKRD11	rep2_peak_15318 (-15036), rep2_peak_15317 (-172), rep2_peak_15316 (+1228), rep2_peak_15315 (+11620), rep2_peak_15314 (+27011)
ANKRD12	rep2_peak_17911 (-598), rep2_peak_17912 (-233)
ANKRD13A	rep2_peak_9507 (-330), rep2_peak_9508 (+11537), rep2_peak_9509 (+12797)
ANKRD13B	rep2_peak_15980 (-2179), rep2_peak_15981 (-1665), rep2_peak_15982 (+20126), rep2_peak_15983 (+22337)
ANKRD13C	rep2_peak_1639 (-67)
ANKRD13D	rep2_peak_7075 (-21645), rep2_peak_7076 (-825)
ANKRD17	rep2_peak_30217 (-384)
ANKRD23	rep2_peak_21931 (-11113), rep2_peak_21930 (-4384), rep2_peak_21929 (+24630)
ANKRD26	rep2_peak_4397 (-67), rep2_peak_4396 (+11615)
ANKRD27	rep2_peak_19430 (+5054), rep2_peak_19429 (+13743)
ANKRD28	rep2_peak_27029 (-593), rep2_peak_27028 (+758)
ANKRD36B	rep2_peak_21938 (-752), rep2_peak_21937 (-201)
ANKRD36C	rep2_peak_21905 (-163)
ANKRD37	rep2_peak_31130 (+261)
ANKRD39	rep2_peak_21935 (-10480), rep2_peak_21934 (-4274), rep2_peak_21933 (-53), rep2_peak_21932 (+201), rep2_peak_21931 (+2948), rep2_peak_21930 (+9677)
ANKRD40	rep2_peak_16662 (-8604), rep2_peak_16661 (-56), rep2_peak_16660 (+523), rep2_peak_16659 (+14638), rep2_peak_16658 (+20472), rep2_peak_16657 (+21054), rep2_peak_16656 (+23008), rep2_peak_16655 (+28718)
ANKRD46	rep2_peak_39423 (-32)
ANKRD50	rep2_peak_30706 (-261), rep2_peak_30705 (+186)
ANKRD54	rep2_peak_26457 (-107), rep2_peak_26456 (+1994), rep2_peak_26455 (+12209)
ANKRD6	rep2_peak_35014 (+2584), rep2_peak_35015 (+5601)
ANKRD66	rep2_peak_34589 (+24304)
ANKRD9	rep2_peak_12107 (-29285), rep2_peak_12106 (-20811), rep2_peak_12105 (-14877), rep2_peak_12104 (-358), rep2_peak_12103 (+27758)
ANKS1A	rep2_peak_34256 (-66)
ANKS4B	rep2_peak_14009 (-11111), rep2_peak_14010 (-59), rep2_peak_14011 (+27481)
ANKZF1	rep2_peak_23596 (+53)
ANLN	rep2_peak_36719 (-22514), rep2_peak_36720 (-720), rep2_peak_36721 (+4219)
ANO6	rep2_peak_8555 (-23549), rep2_peak_8556 (-12150), rep2_peak_8557 (-7266), rep2_peak_8558 (-178)
ANO7	rep2_peak_23974 (+29226)
ANO9	rep2_peak_6057 (-6305), rep2_peak_6056 (-3951)
ANP32B	rep2_peak_40896 (-300)
ANP32E	rep2_peak_2426 (+65)
ANPEP	rep2_peak_13210 (-13730), rep2_peak_13209 (+2561), rep2_peak_13208 (+5469), rep2_peak_13207 (+8103), rep2_peak_13206 (+29195)
ANTXR1	rep2_peak_21520 (-19331)
ANTXR2	rep2_peak_30331 (-552)
ANXA11	rep2_peak_5220 (-152)
ANXA13	rep2_peak_39637 (-29961), rep2_peak_39636 (-7555), rep2_peak_39635 (+17246), rep2_peak_39634 (+29314)
ANXA2	rep2_peak_12665 (-4847), rep2_peak_12664 (+3764), rep2_peak_12663 (+4754), rep2_peak_12662 (+6727), rep2_peak_12661 (+18034), rep2_peak_12660 (+23217), rep2_peak_12659 (+29773)
ANXA2R	rep2_peak_31553 (-23765), rep2_peak_31552 (-21836), rep2_peak_31551 (-15189), rep2_peak_31550 (+703), rep2_peak_31549 (+1048), rep2_peak_31548 (+3221), rep2_peak_31547 (+15613), rep2_peak_31546 (+25100)
ANXA3	rep2_peak_30320 (+16156)
ANXA4	rep2_peak_21538 (-17170), rep2_peak_21539 (-7497), rep2_peak_21540 (-1195), rep2_peak_21541 (+58), rep2_peak_21542 (+1636)
ANXA5	rep2_peak_30653 (-153), rep2_peak_30652 (+279), rep2_peak_30651 (+5549), rep2_peak_30650 (+20241), rep2_peak_30649 (+21156)
ANXA6	rep2_peak_32942 (+77), rep2_peak_32941 (+1535)
ANXA7	rep2_peak_5067 (+184)
ANXA8L1	rep2_peak_4708 (+22582)
ANXA9	rep2_peak_2464 (-2404), rep2_peak_2465 (-631), rep2_peak_2466 (-7), rep2_peak_2467 (+24883)
AOC3	rep2_peak_16338 (+2896), rep2_peak_16339 (+3256), rep2_peak_16340 (+4258), rep2_peak_16341 (+14669), rep2_peak_16342 (+15791), rep2_peak_16343 (+27145)
AOX1	rep2_peak_23260 (-6898), rep2_peak_23261 (+114), rep2_peak_23262 (+6768), rep2_peak_23263 (+18306)
AP1AR	rep2_peak_30592 (-28050), rep2_peak_30593 (-23207), rep2_peak_30594 (-260)
AP1B1	rep2_peak_26204 (-40)
AP1G1	rep2_peak_14867 (+228)
AP1M1	rep2_peak_19244 (+2301)
AP1S1	rep2_peak_37606 (-15792), rep2_peak_37607 (+71)
AP1S3	rep2_peak_23652 (-23992), rep2_peak_23651 (-16039), rep2_peak_23650 (+44)
AP2A1	rep2_peak_20015 (-1513)
AP2A2	rep2_peak_6081 (-10827), rep2_peak_6082 (-6473), rep2_peak_6083 (+10600), rep2_peak_6084 (+22119), rep2_peak_6085 (+26784)
AP2B1	rep2_peak_16064 (-237)
AP2M1	rep2_peak_29141 (+119)
AP2S1	rep2_peak_19884 (-9853), rep2_peak_19883 (-6342), rep2_peak_19882 (-649), rep2_peak_19881 (+9658), rep2_peak_19880 (+13508), rep2_peak_19879 (+28080)
AP3B1	rep2_peak_31981 (-40), rep2_peak_31980 (+19819)
AP3M1	rep2_peak_5084 (-313)
AP3M2	rep2_peak_38936 (-28979), rep2_peak_38937 (-12576), rep2_peak_38938 (-177), rep2_peak_38939 (+27037)
AP3S1	rep2_peak_32353 (+287)
AP3S2	rep2_peak_13215 (+253), rep2_peak_13214 (+24964)
AP4B1	rep2_peak_2127 (-241)
AP4E1	rep2_peak_12500 (-93)
AP4M1	rep2_peak_37537 (-873)
AP4S1	rep2_peak_10999 (+74)
AP5B1	rep2_peak_7008 (+18500)
AP5M1	rep2_peak_11367 (+13)
AP5S1	rep2_peak_24128 (-8657), rep2_peak_24129 (-215), rep2_peak_24130 (+177)
AP5Z1	rep2_peak_36304 (-21602), rep2_peak_36305 (-101)
APAF1	rep2_peak_9342 (-207), rep2_peak_9343 (+9852)
APBA3	rep2_peak_18813 (+7)
APBB1	rep2_peak_6173 (-15118), rep2_peak_6172 (+16758)
APBB2	rep2_peak_30013 (-2095), rep2_peak_30012 (+19)
APC	rep2_peak_32331 (-170)
APC2	rep2_peak_18702 (-5787)
APCDD1	rep2_peak_17937 (+9699)
APEH	rep2_peak_27553 (-7264), rep2_peak_27554 (-5426), rep2_peak_27555 (-2611), rep2_peak_27556 (-14)
APEX1	rep2_peak_10837 (-254), rep2_peak_10838 (+30)
APEX2	rep2_peak_42221 (+7409)
APH1A	rep2_peak_2428 (-122)
API5	rep2_peak_6584 (-41)
APIP	rep2_peak_6558 (+271)
APLF	rep2_peak_21516 (+108)
APLP1	rep2_peak_19540 (-7050), rep2_peak_19541 (+11488)
APLP2	rep2_peak_8014 (-27706), rep2_peak_8015 (-717), rep2_peak_8016 (+63), rep2_peak_8017 (+2242), rep2_peak_8018 (+20652)
APMAP	rep2_peak_24495 (+150), rep2_peak_24494 (+5506)
APOA1	rep2_peak_7783 (-3053), rep2_peak_7782 (-879), rep2_peak_7781 (+11), rep2_peak_7780 (+1783), rep2_peak_7779 (+3969), rep2_peak_7778 (+5509)
APOA2	rep2_peak_2704 (-823), rep2_peak_2703 (-51), rep2_peak_2702 (+2670), rep2_peak_2701 (+4913)
APOA4	rep2_peak_7775 (-3695), rep2_peak_7774 (+14824)
APOA5	rep2_peak_7774 (-16062), rep2_peak_7773 (-119), rep2_peak_7772 (+1001)
APOB	rep2_peak_20634 (-26414), rep2_peak_20633 (-23261), rep2_peak_20632 (-12472), rep2_peak_20631 (-3257), rep2_peak_20630 (-45), rep2_peak_20629 (+915), rep2_peak_20628 (+1813), rep2_peak_20627 (+4035), rep2_peak_20626 (+5339)
APOBEC2	rep2_peak_34397 (+10728), rep2_peak_34398 (+12423)
APOBEC3A	rep2_peak_26506 (-28113)
APOBEC3H	rep2_peak_26507 (+13789)
APOBEC4	rep2_peak_3076 (-22740), rep2_peak_3075 (+12986)
APOBR	rep2_peak_14125 (-2546)
APOC1	rep2_peak_19796 (-2871), rep2_peak_19797 (-1233), rep2_peak_19798 (-54), rep2_peak_19799 (+7061), rep2_peak_19800 (+10170), rep2_peak_19801 (+11311), rep2_peak_19802 (+16030), rep2_peak_19803 (+21790)
APOC2	rep2_peak_19804 (-1207)
APOC3	rep2_peak_7775 (-2891), rep2_peak_7776 (-772), rep2_peak_7777 (-72), rep2_peak_7778 (+2549), rep2_peak_7779 (+4089), rep2_peak_7780 (+6275)
APOC4	rep2_peak_19799 (-20930), rep2_peak_19800 (-17821), rep2_peak_19801 (-16680), rep2_peak_19802 (-11961), rep2_peak_19803 (-6201)
APOC4-APOC2	rep2_peak_19804 (+3758)
APOD	rep2_peak_29441 (-5536), rep2_peak_29440 (+26717)
APOE	rep2_peak_19794 (-1823), rep2_peak_19795 (-37), rep2_peak_19796 (+5622), rep2_peak_19797 (+7260)
APOF	rep2_peak_8870 (-1951)
APOH	rep2_peak_17071 (-6146), rep2_peak_17070 (-3841), rep2_peak_17069 (-229), rep2_peak_17068 (+19324), rep2_peak_17067 (+28574)
APOL1	rep2_peak_26387 (-2568), rep2_peak_26388 (-986), rep2_peak_26389 (+11391), rep2_peak_26390 (+23746), rep2_peak_26391 (+24841), rep2_peak_26392 (+26464)
APOL2	rep2_peak_26387 (-10556), rep2_peak_26386 (+336), rep2_peak_26385 (+11361), rep2_peak_26384 (+17998)
APOL3	rep2_peak_26382 (+6947)
APOL4	rep2_peak_26385 (-23760), rep2_peak_26384 (-17123), rep2_peak_26383 (-4790)
APOL5	rep2_peak_26369 (-7194)
APOL6	rep2_peak_26365 (-24989), rep2_peak_26366 (-5829), rep2_peak_26367 (-1546), rep2_peak_26368 (+62)
APOLD1	rep2_peak_8311 (-2005), rep2_peak_8312 (-518), rep2_peak_8313 (-86)
APOM	rep2_peak_34151 (+301)
APOO	rep2_peak_41953 (+111), rep2_peak_41952 (+5952)
APOPT1	rep2_peak_12138 (+114)
APP	rep2_peak_25505 (+3570)
APPBP2	rep2_peak_16918 (-26515), rep2_peak_16917 (-19573), rep2_peak_16916 (-12)
APPL1	rep2_peak_27731 (-174)
APRT	rep2_peak_15286 (-586), rep2_peak_15285 (+101), rep2_peak_15284 (+7189)
APTX	rep2_peak_40227 (-3)
AQP10	rep2_peak_2538 (-94), rep2_peak_2539 (+3648)
AQP11	rep2_peak_7374 (+323), rep2_peak_7375 (+4444)
AQP3	rep2_peak_40252 (-19182), rep2_peak_40251 (-5356), rep2_peak_40250 (+4448)
AQP5	rep2_peak_8678 (+5719)
AQP6	rep2_peak_8678 (-5585), rep2_peak_8679 (+7567), rep2_peak_8680 (+8273)
AQP7	rep2_peak_40249 (-13216), rep2_peak_40248 (-917), rep2_peak_40247 (+7123), rep2_peak_40246 (+11064)
AQP8	rep2_peak_14098 (-10688), rep2_peak_14099 (+8483)
AQP9	rep2_peak_12604 (-20356), rep2_peak_12605 (+29020)
AQR	rep2_peak_12273 (+28)
ARAP1	rep2_peak_7237 (-26734), rep2_peak_7236 (-25713), rep2_peak_7235 (-14129), rep2_peak_7234 (+2105), rep2_peak_7233 (+3223)
ARAP3	rep2_peak_32742 (+16983)
ARC	rep2_peak_39901 (-18900)
ARCN1	rep2_peak_7832 (+58)
AREL1	rep2_peak_11687 (-44)
ARF4	rep2_peak_27740 (-51), rep2_peak_27739 (+804)
ARF6	rep2_peak_11203 (-24697), rep2_peak_11204 (-13157), rep2_peak_11205 (-117)
ARFGAP1	rep2_peak_25361 (-88)
ARFGAP2	rep2_peak_6644 (-1027), rep2_peak_6643 (+185)
ARFGAP3	rep2_peak_26618 (-10512), rep2_peak_26617 (+227)
ARFGEF1	rep2_peak_39138 (-7605), rep2_peak_39137 (-408)
ARFGEF2	rep2_peak_25032 (-1488), rep2_peak_25033 (+1549), rep2_peak_25034 (+2496), rep2_peak_25035 (+10678), rep2_peak_25036 (+13244)
ARFGEF3	rep2_peak_35572 (+25442)
ARFIP1	rep2_peak_30884 (-122)
ARFIP2	rep2_peak_6176 (-8052), rep2_peak_6175 (+45)
ARFRP1	rep2_peak_25372 (+65), rep2_peak_25371 (+1030)
ARG1	rep2_peak_35452 (-20470), rep2_peak_35453 (-17080), rep2_peak_35454 (+1082)
ARG2	rep2_peak_11510 (-28), rep2_peak_11511 (+3592)
ARGLU1	rep2_peak_10735 (-23332), rep2_peak_10734 (-19802), rep2_peak_10733 (+41)
ARHGAP1	rep2_peak_6633 (+39), rep2_peak_6632 (+9728)
ARHGAP11A	rep2_peak_12254 (-412)
ARHGAP11B	rep2_peak_12227 (-138)
ARHGAP12	rep2_peak_4492 (-18960), rep2_peak_4491 (-16246), rep2_peak_4490 (-14243), rep2_peak_4489 (-12387), rep2_peak_4488 (-8295), rep2_peak_4487 (-654), rep2_peak_4486 (+506), rep2_peak_4485 (+15377)
ARHGAP17	rep2_peak_14094 (-29883), rep2_peak_14093 (-140), rep2_peak_14092 (+15320), rep2_peak_14091 (+20877), rep2_peak_14090 (+23772), rep2_peak_14089 (+26164), rep2_peak_14088 (+28272)
ARHGAP18	rep2_peak_35423 (-7249), rep2_peak_35422 (-12), rep2_peak_35421 (+14347), rep2_peak_35420 (+15920), rep2_peak_35419 (+18993), rep2_peak_35418 (+26031), rep2_peak_35417 (+28371)
